NAME;THEORY;SEMINAR;PRACTICE
Natural Language Interaction;Monday: 14:30 to 17:00
Adaptive Behavior;Tuesday: 17:00 to 19:30
Reinforcement Learning;Thursday: 14:30 to 17:00
Data Driven Social Analytics;Thursday: 17:00 to 19:30
Web Intelligence;Friday: 15:30 to 18:00
Signal Processing;Monday: 14:30 to 16:00;;Wednesday: 16:15 to 17:15;
Cognitive Science and Psychology Mind, Bran and Behavior;Monday: 16:00 to 20:00
Machine Learning;Tuesday: 14:30 to 17:00
Computational Semantics;Wednesday: 17:30 to 20:30
Autonomous Systems;Thursday: 14:30 to 17:00
Research Methodology;Friday: 14:00 to 16:30
Advanced Concepts and Methods in Cognitive Systems;Tuesday: 14:30 to 17:00
Education Games and Entertainment;Wednesday: 14:30 to 17:00
Web-based Interactive Communication;Tuesday: 18:30 to 20:00;Monday: 18:30 to 20:00;Wednesday: 16:30 to 18:00